Area,Year,Month,Unit,Value
Newfoundland and Labrador,1997,4,Persons,553115
Newfoundland and Labrador,1997,7,Persons,550911
Newfoundland and Labrador,1997,10,Persons,547639
Prince Edward Island,1997,1,Persons,135935
Prince Edward Island,1997,4,Persons,135931
Prince Edward Island,1997,7,Persons,136095
Prince Edward Island,1997,10,Persons,136165
Nova Scotia,1997,1,Persons,932349
Nova Scotia,1997,4,Persons,931832
Nova Scotia,1997,7,Persons,932402
Nova Scotia,1997,10,Persons,932735
New Brunswick,1997,1,Persons,752334
New Brunswick,1997,4,Persons,752447
New Brunswick,1997,7,Persons,752511
New Brunswick,1997,10,Persons,752248
Quebec,1997,1,Persons,7262945
Quebec,1997,4,Persons,7267820
Quebec,1997,7,Persons,7274611
Quebec,1997,10,Persons,7282871
Ontario,1997,1,Persons,11146270
Ontario,1997,4,Persons,11179959
Ontario,1997,7,Persons,11227651
Ontario,1997,10,Persons,11278893
Manitoba,1997,1,Persons,1134997
Manitoba,1997,4,Persons,1135846
Manitoba,1997,7,Persons,1136128
Manitoba,1997,10,Persons,1135649
Saskatchewan,1997,1,Persons,1018326
Saskatchewan,1997,4,Persons,1017683
Saskatchewan,1997,7,Persons,1017902
Saskatchewan,1997,10,Persons,1017426
Alberta,1997,1,Persons,2799561
Alberta,1997,4,Persons,2813157
Alberta,1997,7,Persons,2829848
Alberta,1997,10,Persons,2847526
British Columbia,1997,1,Persons,3914490
British Columbia,1997,4,Persons,3931056
British Columbia,1997,7,Persons,3948583
British Columbia,1997,10,Persons,3964677
Yukon,1997,1,Persons,31633
Yukon,1997,4,Persons,31659
Yukon,1997,7,Persons,31797
Yukon,1997,10,Persons,31556
Northwest Territories,1997,1,Persons,41528
Northwest Territories,1997,4,Persons,41668
Northwest Territories,1997,7,Persons,41625
Northwest Territories,1997,10,Persons,41411
Nunavut,1997,1,Persons,25736
Nunavut,1997,4,Persons,25839
Nunavut,1997,7,Persons,25884
Nunavut,1997,10,Persons,25994
Canada,1998,1,Persons,30028506
Canada,1998,4,Persons,30080180
Canada,1998,7,Persons,30155173
Canada,1998,10,Persons,30231639
Newfoundland and Labrador,1998,1,Persons,545769
Newfoundland and Labrador,1998,4,Persons,542479
Newfoundland and Labrador,1998,7,Persons,539843
Newfoundland and Labrador,1998,10,Persons,537908
Prince Edward Island,1998,1,Persons,135938
Prince Edward Island,1998,4,Persons,135635
Prince Edward Island,1998,7,Persons,135804
Prince Edward Island,1998,10,Persons,135908
Nova Scotia,1998,1,Persons,932549
Nova Scotia,1998,4,Persons,932033
Nova Scotia,1998,7,Persons,931836
Nova Scotia,1998,10,Persons,932740
New Brunswick,1998,1,Persons,751969
New Brunswick,1998,4,Persons,751080
New Brunswick,1998,7,Persons,750530
New Brunswick,1998,10,Persons,750708
Quebec,1998,1,Persons,7286008
Quebec,1998,4,Persons,7290497
Quebec,1998,7,Persons,7295935
Quebec,1998,10,Persons,7305302
Ontario,1998,1,Persons,11292059
Ontario,1998,4,Persons,11322038
Ontario,1998,7,Persons,11365901
Ontario,1998,10,Persons,11408804
Manitoba,1998,1,Persons,1135770
Manitoba,1998,4,Persons,1136177
Manitoba,1998,7,Persons,1137489
Manitoba,1998,10,Persons,1138328
Saskatchewan,1998,1,Persons,1017504
Saskatchewan,1998,4,Persons,1017105
Saskatchewan,1998,7,Persons,1017332
Saskatchewan,1998,10,Persons,1017748
Alberta,1998,1,Persons,2859305
Alberta,1998,4,Persons,2876753
Alberta,1998,7,Persons,2899066
Alberta,1998,10,Persons,2915781
British Columbia,1998,1,Persons,3972821
British Columbia,1998,4,Persons,3977912
British Columbia,1998,7,Persons,3983113
British Columbia,1998,10,Persons,3990451
Yukon,1998,1,Persons,31510
Yukon,1998,4,Persons,31320
Yukon,1998,7,Persons,31149
Yukon,1998,10,Persons,30877
Northwest Territories,1998,1,Persons,41222
Northwest Territories,1998,4,Persons,40968
Northwest Territories,1998,7,Persons,40802
Northwest Territories,1998,10,Persons,40635
Nunavut,1998,1,Persons,26082
Nunavut,1998,4,Persons,26183
Nunavut,1998,7,Persons,26373
Nunavut,1998,10,Persons,26449
Canada,1999,1,Persons,30260117
Canada,1999,4,Persons,30314696
Canada,1999,7,Persons,30401286
Canada,1999,10,Persons,30492106
Newfoundland and Labrador,1999,1,Persons,536515
Newfoundland and Labrador,1999,4,Persons,534498
Newfoundland and Labrador,1999,7,Persons,533329
Newfoundland and Labrador,1999,10,Persons,532246
Prince Edward Island,1999,1,Persons,135994
Prince Edward Island,1999,4,Persons,136025
Prince Edward Island,1999,7,Persons,136281
Prince Edward Island,1999,10,Persons,136424
Nova Scotia,1999,1,Persons,932145
Nova Scotia,1999,4,Persons,932116
Nova Scotia,1999,7,Persons,933784
Nova Scotia,1999,10,Persons,935941
New Brunswick,1999,1,Persons,750127
New Brunswick,1999,4,Persons,750075
New Brunswick,1999,7,Persons,750601
New Brunswick,1999,10,Persons,750643
Quebec,1999,1,Persons,7310238
Quebec,1999,4,Persons,7315053
Quebec,1999,7,Persons,7323250
Quebec,1999,10,Persons,7334722
Ontario,1999,1,Persons,11419589
Ontario,1999,4,Persons,11452857
Ontario,1999,7,Persons,11504759
Ontario,1999,10,Persons,11559464
Manitoba,1999,1,Persons,1138946
Manitoba,1999,4,Persons,1140502
Manitoba,1999,7,Persons,1142448
Manitoba,1999,10,Persons,1143618
Saskatchewan,1999,1,Persons,1016883
Saskatchewan,1999,4,Persons,1015716
Saskatchewan,1999,7,Persons,1014524
Saskatchewan,1999,10,Persons,1012582
Alberta,1999,1,Persons,2926079
Alberta,1999,4,Persons,2937393
Alberta,1999,7,Persons,2952692
Alberta,1999,10,Persons,2966682
British Columbia,1999,1,Persons,3995643
British Columbia,1999,4,Persons,4002433
British Columbia,1999,7,Persons,4011375
British Columbia,1999,10,Persons,4021600
Yukon,1999,1,Persons,30748
Yukon,1999,4,Persons,30602
Yukon,1999,7,Persons,30785
Yukon,1999,10,Persons,30608
Northwest Territories,1999,1,Persons,40635
Northwest Territories,1999,4,Persons,40705
Northwest Territories,1999,7,Persons,40638
Northwest Territories,1999,10,Persons,40579
Nunavut,1999,1,Persons,26575
Nunavut,1999,4,Persons,26721
Nunavut,1999,7,Persons,26820
Nunavut,1999,10,Persons,26997
Canada,2000,1,Persons,30525872
Canada,2000,4,Persons,30594030
Canada,2000,7,Persons,30685730
Canada,2000,10,Persons,30783969
Newfoundland and Labrador,2000,1,Persons,531774
Newfoundland and Labrador,2000,4,Persons,529574
Newfoundland and Labrador,2000,7,Persons,527966
Newfoundland and Labrador,2000,10,Persons,526732
Prince Edward Island,2000,1,Persons,136442
Prince Edward Island,2000,4,Persons,136289
Prince Edward Island,2000,7,Persons,136470
Prince Edward Island,2000,10,Persons,136400
Nova Scotia,2000,1,Persons,934594
Nova Scotia,2000,4,Persons,934291
Nova Scotia,2000,7,Persons,933821
Nova Scotia,2000,10,Persons,934459
New Brunswick,2000,1,Persons,750786
New Brunswick,2000,4,Persons,750543
New Brunswick,2000,7,Persons,750517
New Brunswick,2000,10,Persons,750252
Quebec,2000,1,Persons,7340269
Quebec,2000,4,Persons,7347179
Quebec,2000,7,Persons,7356951
Quebec,2000,10,Persons,7368772
Ontario,2000,1,Persons,11576994
Ontario,2000,4,Persons,11621255
Ontario,2000,7,Persons,11683290
Ontario,2000,10,Persons,11748348
Manitoba,2000,1,Persons,1144428
Manitoba,2000,4,Persons,1145873
Manitoba,2000,7,Persons,1147313
Manitoba,2000,10,Persons,1148183
Saskatchewan,2000,1,Persons,1011141
Saskatchewan,2000,4,Persons,1009177
Saskatchewan,2000,7,Persons,1007565
Saskatchewan,2000,10,Persons,1006027
Alberta,2000,1,Persons,2974517
Alberta,2000,4,Persons,2988465
Alberta,2000,7,Persons,3004198
Alberta,2000,10,Persons,3016947
British Columbia,2000,1,Persons,4026664
British Columbia,2000,4,Persons,4033319
British Columbia,2000,7,Persons,4039230
British Columbia,2000,10,Persons,4049297
Yukon,2000,1,Persons,30495
Yukon,2000,4,Persons,30382
Yukon,2000,7,Persons,30431
Yukon,2000,10,Persons,30294
Northwest Territories,2000,1,Persons,40623
Northwest Territories,2000,4,Persons,40455
Northwest Territories,2000,7,Persons,40480
Northwest Territories,2000,10,Persons,40575
Nunavut,2000,1,Persons,27145
Nunavut,2000,4,Persons,27228
Nunavut,2000,7,Persons,27498
Nunavut,2000,10,Persons,27683
Canada,2001,1,Persons,30824441
Canada,2001,4,Persons,30910996
Canada,2001,7,Persons,31020902
Canada,2001,10,Persons,31129119
Newfoundland and Labrador,2001,1,Persons,525299
Newfoundland and Labrador,2001,4,Persons,523235
Newfoundland and Labrador,2001,7,Persons,522046
Newfoundland and Labrador,2001,10,Persons,521581
Prince Edward Island,2001,1,Persons,136377
Prince Edward Island,2001,4,Persons,136499
Prince Edward Island,2001,7,Persons,136665
Prince Edward Island,2001,10,Persons,136876
Nova Scotia,2001,1,Persons,933463
Nova Scotia,2001,4,Persons,932909
Nova Scotia,2001,7,Persons,932494
Nova Scotia,2001,10,Persons,933336
New Brunswick,2001,1,Persons,749715
New Brunswick,2001,4,Persons,749789
New Brunswick,2001,7,Persons,749820
New Brunswick,2001,10,Persons,749295
Quebec,2001,1,Persons,7373978
Quebec,2001,4,Persons,7383844
Quebec,2001,7,Persons,7396456
Quebec,2001,10,Persons,7411504
Ontario,2001,1,Persons,11771945
Ontario,2001,4,Persons,11827345
Ontario,2001,7,Persons,11897534
Ontario,2001,10,Persons,11961789
Manitoba,2001,1,Persons,1148456
Manitoba,2001,4,Persons,1149684
Manitoba,2001,7,Persons,1151454
Manitoba,2001,10,Persons,1152150
Saskatchewan,2001,1,Persons,1003469
Saskatchewan,2001,4,Persons,1001643
Saskatchewan,2001,7,Persons,1000239
Saskatchewan,2001,10,Persons,999175
Alberta,2001,1,Persons,3027941
Alberta,2001,4,Persons,3041238
Alberta,2001,7,Persons,3058108
Alberta,2001,10,Persons,3078336
British Columbia,2001,1,Persons,4055229
British Columbia,2001,4,Persons,4066132
British Columbia,2001,7,Persons,4076950
British Columbia,2001,10,Persons,4085648
Yukon,2001,1,Persons,30147
Yukon,2001,4,Persons,30124
Yukon,2001,7,Persons,30158
Yukon,2001,10,Persons,30076
Northwest Territories,2001,1,Persons,40624
Northwest Territories,2001,4,Persons,40625
Northwest Territories,2001,7,Persons,40845
Northwest Territories,2001,10,Persons,41173
Nunavut,2001,1,Persons,27798
Nunavut,2001,4,Persons,27929
Nunavut,2001,7,Persons,28133
Nunavut,2001,10,Persons,28180
Canada,2002,1,Persons,31169393
Canada,2002,4,Persons,31253382
Canada,2002,7,Persons,31360079
Canada,2002,10,Persons,31451764
Newfoundland and Labrador,2002,1,Persons,521399
Newfoundland and Labrador,2002,4,Persons,520228
Newfoundland and Labrador,2002,7,Persons,519481
Newfoundland and Labrador,2002,10,Persons,519458
Prince Edward Island,2002,1,Persons,136858
Prince Edward Island,2002,4,Persons,136892
Prince Edward Island,2002,7,Persons,136880
Prince Edward Island,2002,10,Persons,137078
Nova Scotia,2002,1,Persons,933773
Nova Scotia,2002,4,Persons,934177
Nova Scotia,2002,7,Persons,935179
Nova Scotia,2002,10,Persons,935968
New Brunswick,2002,1,Persons,748637
New Brunswick,2002,4,Persons,748777
New Brunswick,2002,7,Persons,749372
New Brunswick,2002,10,Persons,749408
Quebec,2002,1,Persons,7417882
Quebec,2002,4,Persons,7428016
Quebec,2002,7,Persons,7441656
Quebec,2002,10,Persons,7455892
Ontario,2002,1,Persons,11980361
Ontario,2002,4,Persons,12030408
Ontario,2002,7,Persons,12094174
Ontario,2002,10,Persons,12146053
Manitoba,2002,1,Persons,1152837
Manitoba,2002,4,Persons,1154737
Manitoba,2002,7,Persons,1156680
Manitoba,2002,10,Persons,1157298
Saskatchewan,2002,1,Persons,998681
Saskatchewan,2002,4,Persons,997740
Saskatchewan,2002,7,Persons,996807
Saskatchewan,2002,10,Persons,996279
Alberta,2002,1,Persons,3092107
Alberta,2002,4,Persons,3108360
Alberta,2002,7,Persons,3128429
Alberta,2002,10,Persons,3144926
British Columbia,2002,1,Persons,4087191
British Columbia,2002,4,Persons,4094236
British Columbia,2002,7,Persons,4100564
British Columbia,2002,10,Persons,4108400
Yukon,2002,1,Persons,30153
Yukon,2002,4,Persons,30142
Yukon,2002,7,Persons,30336
Yukon,2002,10,Persons,30266
Northwest Territories,2002,1,Persons,41176
Northwest Territories,2002,4,Persons,41280
Northwest Territories,2002,7,Persons,41699
Northwest Territories,2002,10,Persons,41874
Nunavut,2002,1,Persons,28338
Nunavut,2002,4,Persons,28389
Nunavut,2002,7,Persons,28822
Nunavut,2002,10,Persons,28864
Canada,2003,1,Persons,31480672
Canada,2003,4,Persons,31550768
Canada,2003,7,Persons,31644028
Canada,2003,10,Persons,31737869
Newfoundland and Labrador,2003,1,Persons,519223
Newfoundland and Labrador,2003,4,Persons,518813
Newfoundland and Labrador,2003,7,Persons,518459
Newfoundland and Labrador,2003,10,Persons,518786
Prince Edward Island,2003,1,Persons,137077
Prince Edward Island,2003,4,Persons,137120
Prince Edward Island,2003,7,Persons,137227
Prince Edward Island,2003,10,Persons,137425
Nova Scotia,2003,1,Persons,935509
Nova Scotia,2003,4,Persons,935800
Nova Scotia,2003,7,Persons,937717
Nova Scotia,2003,10,Persons,938790
New Brunswick,2003,1,Persons,749238
New Brunswick,2003,4,Persons,749265
New Brunswick,2003,7,Persons,749441
New Brunswick,2003,10,Persons,749463
Quebec,2003,1,Persons,7461516
Quebec,2003,4,Persons,7471775
Quebec,2003,7,Persons,7485753
Quebec,2003,10,Persons,7503709
Ontario,2003,1,Persons,12156750
Ontario,2003,4,Persons,12195501
Ontario,2003,7,Persons,12245039
Ontario,2003,10,Persons,12291669
Manitoba,2003,1,Persons,1158369
Manitoba,2003,4,Persons,1160863
Manitoba,2003,7,Persons,1163596
Manitoba,2003,10,Persons,1165530
Saskatchewan,2003,1,Persons,996241
Saskatchewan,2003,4,Persons,995748
Saskatchewan,2003,7,Persons,996386
Saskatchewan,2003,10,Persons,996555
Alberta,2003,1,Persons,3155103
Alberta,2003,4,Persons,3169049
Alberta,2003,7,Persons,3183065
Alberta,2003,10,Persons,3197858
British Columbia,2003,1,Persons,4110242
British Columbia,2003,4,Persons,4114925
British Columbia,2003,7,Persons,4124482
British Columbia,2003,10,Persons,4134638
Yukon,2003,1,Persons,30422
Yukon,2003,4,Persons,30573
Yukon,2003,7,Persons,30941
Yukon,2003,10,Persons,31218
Northwest Territories,2003,1,Persons,42006
Northwest Territories,2003,4,Persons,42219
Northwest Territories,2003,7,Persons,42600
Northwest Territories,2003,10,Persons,42857
Nunavut,2003,1,Persons,28976
Nunavut,2003,4,Persons,29117
Nunavut,2003,7,Persons,29322
Nunavut,2003,10,Persons,29371
Canada,2004,1,Persons,31777704
Canada,2004,4,Persons,31846669
Canada,2004,7,Persons,31940655
Canada,2004,10,Persons,32039959
Newfoundland and Labrador,2004,1,Persons,518739
Newfoundland and Labrador,2004,4,Persons,517940
Newfoundland and Labrador,2004,7,Persons,517423
Newfoundland and Labrador,2004,10,Persons,516906
Prince Edward Island,2004,1,Persons,137510
Prince Edward Island,2004,4,Persons,137629
Prince Edward Island,2004,7,Persons,137680
Prince Edward Island,2004,10,Persons,137695
Nova Scotia,2004,1,Persons,938997
Nova Scotia,2004,4,Persons,938783
Nova Scotia,2004,7,Persons,939664
Nova Scotia,2004,10,Persons,939884
New Brunswick,2004,1,Persons,749190
New Brunswick,2004,4,Persons,749336
New Brunswick,2004,7,Persons,749419
New Brunswick,2004,10,Persons,749243
Quebec,2004,1,Persons,7510408
Quebec,2004,4,Persons,7520262
Quebec,2004,7,Persons,7535590
Quebec,2004,10,Persons,7553651
Ontario,2004,1,Persons,12305320
Ontario,2004,4,Persons,12341656
Ontario,2004,7,Persons,12391421
Ontario,2004,10,Persons,12437664
Manitoba,2004,1,Persons,1167656
Manitoba,2004,4,Persons,1170347
Manitoba,2004,7,Persons,1173238
Manitoba,2004,10,Persons,1174675
Saskatchewan,2004,1,Persons,996558
Saskatchewan,2004,4,Persons,997080
Saskatchewan,2004,7,Persons,997283
Saskatchewan,2004,10,Persons,996993
Alberta,2004,1,Persons,3209372
Alberta,2004,4,Persons,3223490
Alberta,2004,7,Persons,3238668
Alberta,2004,10,Persons,3260590
British Columbia,2004,1,Persons,4139946
British Columbia,2004,4,Persons,4145951
British Columbia,2004,7,Persons,4155651
British Columbia,2004,10,Persons,4167810
Yukon,2004,1,Persons,31319
Yukon,2004,4,Persons,31401
Yukon,2004,7,Persons,31455
Yukon,2004,10,Persons,31689
Northwest Territories,2004,1,Persons,43171
Northwest Territories,2004,4,Persons,43210
Northwest Territories,2004,7,Persons,43306
Northwest Territories,2004,10,Persons,43352
Nunavut,2004,1,Persons,29518
Nunavut,2004,4,Persons,29584
Nunavut,2004,7,Persons,29857
Nunavut,2004,10,Persons,29807
Canada,2005,1,Persons,32076720
Canada,2005,4,Persons,32141943
Canada,2005,7,Persons,32243753
Canada,2005,10,Persons,32353968
Newfoundland and Labrador,2005,1,Persons,516794
Newfoundland and Labrador,2005,4,Persons,515358
Newfoundland and Labrador,2005,7,Persons,514332
Newfoundland and Labrador,2005,10,Persons,513740
Prince Edward Island,2005,1,Persons,137689
Prince Edward Island,2005,4,Persons,137788
Prince Edward Island,2005,7,Persons,138064
Prince Edward Island,2005,10,Persons,138130
Nova Scotia,2005,1,Persons,939215
Nova Scotia,2005,4,Persons,937991
Nova Scotia,2005,7,Persons,937926
Nova Scotia,2005,10,Persons,938753
New Brunswick,2005,1,Persons,749002
New Brunswick,2005,4,Persons,748693
New Brunswick,2005,7,Persons,748057
New Brunswick,2005,10,Persons,747672
Quebec,2005,1,Persons,7559625
Quebec,2005,4,Persons,7567307
Quebec,2005,7,Persons,7581476
Quebec,2005,10,Persons,7598887
Ontario,2005,1,Persons,12446466
Ontario,2005,4,Persons,12477967
Ontario,2005,7,Persons,12528663
Ontario,2005,10,Persons,12578931
Manitoba,2005,1,Persons,1176051
Manitoba,2005,4,Persons,1177285
Manitoba,2005,7,Persons,1178264
Manitoba,2005,10,Persons,1179086
Saskatchewan,2005,1,Persons,995900
Saskatchewan,2005,4,Persons,994892
Saskatchewan,2005,7,Persons,993500
Saskatchewan,2005,10,Persons,993288
Alberta,2005,1,Persons,3276797
Alberta,2005,4,Persons,3296271
Alberta,2005,7,Persons,3321768
Alberta,2005,10,Persons,3346754
British Columbia,2005,1,Persons,4174018
British Columbia,2005,4,Persons,4182963
British Columbia,2005,7,Persons,4196062
British Columbia,2005,10,Persons,4212666
Yukon,2005,1,Persons,31771
Yukon,2005,4,Persons,31862
Yukon,2005,7,Persons,31902
Yukon,2005,10,Persons,32128
Northwest Territories,2005,1,Persons,43442
Northwest Territories,2005,4,Persons,43457
Northwest Territories,2005,7,Persons,43400
Northwest Territories,2005,10,Persons,43526
Nunavut,2005,1,Persons,29950
Nunavut,2005,4,Persons,30109
Nunavut,2005,7,Persons,30339
Nunavut,2005,10,Persons,30407
Canada,2006,1,Persons,32395309
Canada,2006,4,Persons,32470303
Canada,2006,7,Persons,32571174
Canada,2006,10,Persons,32680712
Newfoundland and Labrador,2006,1,Persons,512564
Newfoundland and Labrador,2006,4,Persons,510961
Newfoundland and Labrador,2006,7,Persons,510592
Newfoundland and Labrador,2006,10,Persons,510329
Prince Edward Island,2006,1,Persons,137907
Prince Edward Island,2006,4,Persons,137846
Prince Edward Island,2006,7,Persons,137867
Prince Edward Island,2006,10,Persons,137898
Nova Scotia,2006,1,Persons,938117
Nova Scotia,2006,4,Persons,937664
Nova Scotia,2006,7,Persons,937882
Nova Scotia,2006,10,Persons,937046
New Brunswick,2006,1,Persons,746983
New Brunswick,2006,4,Persons,746337
New Brunswick,2006,7,Persons,745621
New Brunswick,2006,10,Persons,744975
Quebec,2006,1,Persons,7604258
Quebec,2006,4,Persons,7615505
Quebec,2006,7,Persons,7631966
Quebec,2006,10,Persons,7653092
Ontario,2006,1,Persons,12587531
Ontario,2006,4,Persons,12618444
Ontario,2006,7,Persons,12661878
Ontario,2006,10,Persons,12700994
Manitoba,2006,1,Persons,1179920
Manitoba,2006,4,Persons,1181635
Manitoba,2006,7,Persons,1183562
Manitoba,2006,10,Persons,1183981
Saskatchewan,2006,1,Persons,992237
Saskatchewan,2006,4,Persons,991228
Saskatchewan,2006,7,Persons,992314
Saskatchewan,2006,10,Persons,993361
Alberta,2006,1,Persons,3371823
Alberta,2006,4,Persons,3396802
Alberta,2006,7,Persons,3421434
Alberta,2006,10,Persons,3453944
British Columbia,2006,1,Persons,4217962
British Columbia,2006,4,Persons,4227986
British Columbia,2006,7,Persons,4241794
British Columbia,2006,10,Persons,4258655
Yukon,2006,1,Persons,32112
Yukon,2006,4,Persons,32152
Yukon,2006,7,Persons,32272
Yukon,2006,10,Persons,32361
Northwest Territories,2006,1,Persons,43318
Northwest Territories,2006,4,Persons,43101
Northwest Territories,2006,7,Persons,43179
Northwest Territories,2006,10,Persons,43197
Nunavut,2006,1,Persons,30577
Nunavut,2006,4,Persons,30642
Nunavut,2006,7,Persons,30813
Nunavut,2006,10,Persons,30879
Canada,2007,1,Persons,32717701
Canada,2007,4,Persons,32786014
Canada,2007,7,Persons,32889025
Canada,2007,10,Persons,33002138
Newfoundland and Labrador,2007,1,Persons,510335
Newfoundland and Labrador,2007,4,Persons,509131
Newfoundland and Labrador,2007,7,Persons,509055
Newfoundland and Labrador,2007,10,Persons,510262
Prince Edward Island,2007,1,Persons,137778
Prince Edward Island,2007,4,Persons,137708
Prince Edward Island,2007,7,Persons,137711
Prince Edward Island,2007,10,Persons,138026
Nova Scotia,2007,1,Persons,936203
Nova Scotia,2007,4,Persons,934995
Nova Scotia,2007,7,Persons,935115
Nova Scotia,2007,10,Persons,935379
New Brunswick,2007,1,Persons,744853
New Brunswick,2007,4,Persons,744938
New Brunswick,2007,7,Persons,745433
New Brunswick,2007,10,Persons,746138
Quebec,2007,1,Persons,7661583
Quebec,2007,4,Persons,7674385
Quebec,2007,7,Persons,7692916
Quebec,2007,10,Persons,7713173
Ontario,2007,1,Persons,12702838
Ontario,2007,4,Persons,12726728
Ontario,2007,7,Persons,12764806
Ontario,2007,10,Persons,12807208
Manitoba,2007,1,Persons,1184503
Manitoba,2007,4,Persons,1186430
Manitoba,2007,7,Persons,1189451
Manitoba,2007,10,Persons,1191690
Saskatchewan,2007,1,Persons,995174
Saskatchewan,2007,4,Persons,997550
Saskatchewan,2007,7,Persons,1002086
Saskatchewan,2007,10,Persons,1007323
Alberta,2007,1,Persons,3472771
Alberta,2007,4,Persons,3490842
Alberta,2007,7,Persons,3514147
Alberta,2007,10,Persons,3533413
British Columbia,2007,1,Persons,4265321
British Columbia,2007,4,Persons,4276743
British Columbia,2007,7,Persons,4290984
British Columbia,2007,10,Persons,4312042
Yukon,2007,1,Persons,32315
Yukon,2007,4,Persons,32273
Yukon,2007,7,Persons,32554
Yukon,2007,10,Persons,32662
Northwest Territories,2007,1,Persons,43074
Northwest Territories,2007,4,Persons,43107
Northwest Territories,2007,7,Persons,43372
Northwest Territories,2007,10,Persons,43262
Nunavut,2007,1,Persons,30953
Nunavut,2007,4,Persons,31184
Nunavut,2007,7,Persons,31395
Nunavut,2007,10,Persons,31560
Canada,2008,1,Persons,33050613
Canada,2008,4,Persons,33127520
Canada,2008,7,Persons,33247118
Canada,2008,10,Persons,33372418
Newfoundland and Labrador,2008,1,Persons,511008
Newfoundland and Labrador,2008,4,Persons,511253
Newfoundland and Labrador,2008,7,Persons,511581
Newfoundland and Labrador,2008,10,Persons,513437
Prince Edward Island,2008,1,Persons,138000
Prince Edward Island,2008,4,Persons,138186
Prince Edward Island,2008,7,Persons,138749
Prince Edward Island,2008,10,Persons,139465
Nova Scotia,2008,1,Persons,935475
Nova Scotia,2008,4,Persons,935635
Nova Scotia,2008,7,Persons,935897
Nova Scotia,2008,10,Persons,937045
New Brunswick,2008,1,Persons,746288
New Brunswick,2008,4,Persons,746533
New Brunswick,2008,7,Persons,746877
New Brunswick,2008,10,Persons,747769
Quebec,2008,1,Persons,7725513
Quebec,2008,4,Persons,7740347
Quebec,2008,7,Persons,7761725
Quebec,2008,10,Persons,7786475
Ontario,2008,1,Persons,12814446
Ontario,2008,4,Persons,12840272
Ontario,2008,7,Persons,12883583
Ontario,2008,10,Persons,12927148
Manitoba,2008,1,Persons,1193408
Manitoba,2008,4,Persons,1194662
Manitoba,2008,7,Persons,1197775
Manitoba,2008,10,Persons,1199548
Saskatchewan,2008,1,Persons,1010304
Saskatchewan,2008,4,Persons,1013478
Saskatchewan,2008,7,Persons,1017404
Saskatchewan,2008,10,Persons,1022553
Alberta,2008,1,Persons,3548796
Alberta,2008,4,Persons,3567458
Alberta,2008,7,Persons,3595856
Alberta,2008,10,Persons,3619292
British Columbia,2008,1,Persons,4319652
British Columbia,2008,4,Persons,4331699
British Columbia,2008,7,Persons,4349336
British Columbia,2008,10,Persons,4371124
Yukon,2008,1,Persons,32751
Yukon,2008,4,Persons,32954
Yukon,2008,7,Persons,33083
Yukon,2008,10,Persons,33306
Northwest Territories,2008,1,Persons,43357
Northwest Territories,2008,4,Persons,43362
Northwest Territories,2008,7,Persons,43360
Northwest Territories,2008,10,Persons,43293
Nunavut,2008,1,Persons,31615
Nunavut,2008,4,Persons,31681
Nunavut,2008,7,Persons,31892
Nunavut,2008,10,Persons,31963
Canada,2009,1,Persons,33427050
Canada,2009,4,Persons,33511275
Canada,2009,7,Persons,33628895
Canada,2009,10,Persons,33757077
Newfoundland and Labrador,2009,1,Persons,514223
Newfoundland and Labrador,2009,4,Persons,514719
Newfoundland and Labrador,2009,7,Persons,516751
Newfoundland and Labrador,2009,10,Persons,518985
Prince Edward Island,2009,1,Persons,139136
Prince Edward Island,2009,4,Persons,139206
Prince Edward Island,2009,7,Persons,139891
Prince Edward Island,2009,10,Persons,140611
Nova Scotia,2009,1,Persons,937382
Nova Scotia,2009,4,Persons,937429
Nova Scotia,2009,7,Persons,938208
Nova Scotia,2009,10,Persons,940501
New Brunswick,2009,1,Persons,748373
New Brunswick,2009,4,Persons,749161
New Brunswick,2009,7,Persons,749956
New Brunswick,2009,10,Persons,751066
Quebec,2009,1,Persons,7799115
Quebec,2009,4,Persons,7817022
Quebec,2009,7,Persons,7843383
Quebec,2009,10,Persons,7871361
Ontario,2009,1,Persons,12932234
Ontario,2009,4,Persons,12956332
Ontario,2009,7,Persons,12998345
Ontario,2009,10,Persons,13047485
Manitoba,2009,1,Persons,1201702
Manitoba,2009,4,Persons,1204014
Manitoba,2009,7,Persons,1208556
Manitoba,2009,10,Persons,1211875
Saskatchewan,2009,1,Persons,1025993
Saskatchewan,2009,4,Persons,1029901
Saskatchewan,2009,7,Persons,1034819
Saskatchewan,2009,10,Persons,1039554
Alberta,2009,1,Persons,3638482
Alberta,2009,4,Persons,3659228
Alberta,2009,7,Persons,3678996
Alberta,2009,10,Persons,3694303
British Columbia,2009,1,Persons,4381829
British Columbia,2009,4,Persons,4395190
British Columbia,2009,7,Persons,4410506
British Columbia,2009,10,Persons,4431576
Yukon,2009,1,Persons,33404
Yukon,2009,4,Persons,33582
Yukon,2009,7,Persons,33731
Yukon,2009,10,Persons,34025
Northwest Territories,2009,1,Persons,43116
Northwest Territories,2009,4,Persons,43106
Northwest Territories,2009,7,Persons,43156
Northwest Territories,2009,10,Persons,42924
Nunavut,2009,1,Persons,32061
Nunavut,2009,4,Persons,32385
Nunavut,2009,7,Persons,32597
Nunavut,2009,10,Persons,32811
Canada,2010,1,Persons,33807529
Canada,2010,4,Persons,33889236
Canada,2010,7,Persons,34004889
Canada,2010,10,Persons,34131683
Newfoundland and Labrador,2010,1,Persons,520283
