Year,Crop,Measurement,Unit,Value
2010,Others,Transgenic Area,Hectares,7e+05
2011,Cotton,Transgenic Area,Hectares,24700000
2011,Soybean,Transgenic Area,Hectares,75400000
2011,Maize,Transgenic Area,Hectares,5.1e+07
2011,Canola,Transgenic Area,Hectares,8200000
2011,Others,Transgenic Area,Hectares,7e+05
2012,Soybean,Transgenic Area,Hectares,80700000
2012,Cotton,Transgenic Area,Hectares,24300000
2012,Maize,Transgenic Area,Hectares,55100000
2012,Canola,Transgenic Area,Hectares,9200000
2012,Others,Transgenic Area,Hectares,1e+06
2013,Soybean,Transgenic Area,Hectares,84500000
2013,Cotton,Transgenic Area,Hectares,23900000
2013,Maize,Transgenic Area,Hectares,57300000
2013,Canola,Transgenic Area,Hectares,8200000
2013,Others,Transgenic Area,Hectares,1300000
2014,Soybean,Transgenic Area,Hectares,90700000
2014,Cotton,Transgenic Area,Hectares,25100000
2014,Maize,Transgenic Area,Hectares,55200000
2014,Canola,Transgenic Area,Hectares,9e+06
2014,Others,Transgenic Area,Hectares,1400000
2015,Soybean,Transgenic Area,Hectares,92100000
2015,Cotton,Transgenic Area,Hectares,2.4e+07
2015,Maize,Transgenic Area,Hectares,53600000
2015,Canola,Transgenic Area,Hectares,8500000
2015,Others,Transgenic Area,Hectares,1500000
1999,Soybean,Percent,Percent,30
1999,Canola,Percent,Percent,14
1999,Cotton,Percent,Percent,10
1999,Maize,Percent,Percent,8
2000,Soybean,Percent,Percent,36
2000,Cotton,Percent,Percent,16
2000,Canola,Percent,Percent,11
2000,Maize,Percent,Percent,7
2001,Soybean,Percent,Percent,46
2001,Cotton,Percent,Percent,20
2001,Canola,Percent,Percent,11
2001,Maize,Percent,Percent,7
2002,Soybean,Percent,Percent,51
2002,Cotton,Percent,Percent,20
2002,Canola,Percent,Percent,12
2002,Maize,Percent,Percent,9
2003,Soybean,Percent,Percent,55
2003,Cotton,Percent,Percent,21
2003,Canola,Percent,Percent,16
2003,Maize,Percent,Percent,11
2004,Soybean,Percent,Percent,56
2004,Cotton,Percent,Percent,28
2004,Canola,Percent,Percent,19
2004,Maize,Percent,Percent,14
2005,Soybean,Percent,Percent,60
2005,Cotton,Percent,Percent,28
2005,Canola,Percent,Percent,18
2005,Maize,Percent,Percent,14
2006,Soybean,Percent,Percent,64
2006,Cotton,Percent,Percent,38
2006,Canola,Percent,Percent,18
2006,Maize,Percent,Percent,17
2007,Soybean,Percent,Percent,64
