Area,Year,Animal,Measurement,Unit,Value
Prince Edward Island,1966,Horses and ponies,Average number,Number,2
Prince Edward Island,1966,Total hens and chickens,Number of farms reporting,Number,2584
Prince Edward Island,1966,Total hens and chickens,Number of animals,Number,352461
Prince Edward Island,1966,Total hens and chickens,Average number,Number,136
Nova Scotia,1966,Total cattle,Number of farms reporting,Number,7759
Nova Scotia,1966,Total cattle,Number of animals,Number,147636
Nova Scotia,1966,Total cattle,Average number,Number,19
Nova Scotia,1966,Total pigs,Number of farms reporting,Number,2132
Nova Scotia,1966,Total pigs,Number of animals,Number,57499
Nova Scotia,1966,Total pigs,Average number,Number,27
Nova Scotia,1966,Total sheep,Number of farms reporting,Number,1169
Nova Scotia,1966,Total sheep,Number of animals,Number,38827
Nova Scotia,1966,Total sheep,Average number,Number,33
Nova Scotia,1966,Horses and ponies,Number of farms reporting,Number,3514
Nova Scotia,1966,Horses and ponies,Number of animals,Number,5739
Nova Scotia,1966,Horses and ponies,Average number,Number,2
Nova Scotia,1966,Total hens and chickens,Number of farms reporting,Number,3253
Nova Scotia,1966,Total hens and chickens,Number of animals,Number,2800869
Nova Scotia,1966,Total hens and chickens,Average number,Number,861
New Brunswick,1966,Total cattle,Number of farms reporting,Number,6788
New Brunswick,1966,Total cattle,Number of animals,Number,136467
New Brunswick,1966,Total cattle,Average number,Number,20
New Brunswick,1966,Total pigs,Number of farms reporting,Number,2893
New Brunswick,1966,Total pigs,Number of animals,Number,34126
New Brunswick,1966,Total pigs,Average number,Number,12
New Brunswick,1966,Total sheep,Number of farms reporting,Number,831
New Brunswick,1966,Total sheep,Number of animals,Number,28235
New Brunswick,1966,Total sheep,Average number,Number,34
New Brunswick,1966,Horses and ponies,Number of farms reporting,Number,3550
New Brunswick,1966,Horses and ponies,Number of animals,Number,6104
New Brunswick,1966,Horses and ponies,Average number,Number,2
New Brunswick,1966,Total hens and chickens,Number of farms reporting,Number,3798
New Brunswick,1966,Total hens and chickens,Number of animals,Number,1338828
New Brunswick,1966,Total hens and chickens,Average number,Number,353
Quebec,1966,Total cattle,Number of farms reporting,Number,65887
Quebec,1966,Total cattle,Number of animals,Number,1797646
Quebec,1966,Total cattle,Average number,Number,27
Quebec,1966,Total pigs,Number of farms reporting,Number,30683
Quebec,1966,Total pigs,Number of animals,Number,1173687
Quebec,1966,Total pigs,Average number,Number,38
Quebec,1966,Total sheep,Number of farms reporting,Number,5059
Quebec,1966,Total sheep,Number of animals,Number,112438
Quebec,1966,Total sheep,Average number,Number,22
Quebec,1966,Horses and ponies,Number of farms reporting,Number,32432
Quebec,1966,Horses and ponies,Number of animals,Number,62138
Quebec,1966,Horses and ponies,Average number,Number,2
Quebec,1966,Total hens and chickens,Number of farms reporting,Number,31908
Quebec,1966,Total hens and chickens,Number of animals,Number,18399326
Quebec,1966,Total hens and chickens,Average number,Number,577
Ontario,1966,Total cattle,Number of farms reporting,Number,79906
Ontario,1966,Total cattle,Number of animals,Number,3136956
Ontario,1966,Total cattle,Average number,Number,39
Ontario,1966,Total pigs,Number of farms reporting,Number,41827
Ontario,1966,Total pigs,Number of animals,Number,1935595
Ontario,1966,Total pigs,Average number,Number,46
Ontario,1966,Total sheep,Number of farms reporting,Number,5794
Ontario,1966,Total sheep,Number of animals,Number,265396
Ontario,1966,Total sheep,Average number,Number,46
Ontario,1966,Horses and ponies,Number of farms reporting,Number,25366
Ontario,1966,Horses and ponies,Number of animals,Number,75355
Ontario,1966,Horses and ponies,Average number,Number,3
Ontario,1966,Total hens and chickens,Number of farms reporting,Number,36494
Ontario,1966,Total hens and chickens,Number of animals,Number,25308639
Ontario,1966,Total hens and chickens,Average number,Number,694
Manitoba,1966,Total cattle,Number of farms reporting,Number,28389
Manitoba,1966,Total cattle,Number of animals,Number,1151179
Manitoba,1966,Total cattle,Average number,Number,41
Manitoba,1966,Total pigs,Number of farms reporting,Number,16048
Manitoba,1966,Total pigs,Number of animals,Number,499192
Manitoba,1966,Total pigs,Average number,Number,31
Manitoba,1966,Total sheep,Number of farms reporting,Number,1071
Manitoba,1966,Total sheep,Number of animals,Number,50499
Manitoba,1966,Total sheep,Average number,Number,47
Manitoba,1966,Horses and ponies,Number of farms reporting,Number,14149
Manitoba,1966,Horses and ponies,Number of animals,Number,37015
Manitoba,1966,Horses and ponies,Average number,Number,3
Manitoba,1966,Total hens and chickens,Number of farms reporting,Number,17181
Manitoba,1966,Total hens and chickens,Number of animals,Number,5844235
Manitoba,1966,Total hens and chickens,Average number,Number,340
Saskatchewan,1966,Total cattle,Number of farms reporting,Number,54672
Saskatchewan,1966,Total cattle,Number of animals,Number,2397979
Saskatchewan,1966,Total cattle,Average number,Number,44
Saskatchewan,1966,Total pigs,Number of farms reporting,Number,26987
Saskatchewan,1966,Total pigs,Number of animals,Number,488173
Saskatchewan,1966,Total pigs,Average number,Number,18
Saskatchewan,1966,Total sheep,Number of farms reporting,Number,1984
Saskatchewan,1966,Total sheep,Number of animals,Number,127799
Saskatchewan,1966,Total sheep,Average number,Number,64
Saskatchewan,1966,Horses and ponies,Number of farms reporting,Number,28174
Saskatchewan,1966,Horses and ponies,Number of animals,Number,74674
Saskatchewan,1966,Horses and ponies,Average number,Number,3
Saskatchewan,1966,Total hens and chickens,Number of farms reporting,Number,39573
Saskatchewan,1966,Total hens and chickens,Number of animals,Number,5393149
Saskatchewan,1966,Total hens and chickens,Average number,Number,136
Alberta,1966,Total cattle,Number of farms reporting,Number,52944
Alberta,1966,Total cattle,Number of animals,Number,3439734
Alberta,1966,Total cattle,Average number,Number,65
Alberta,1966,Total pigs,Number of farms reporting,Number,28544
Alberta,1966,Total pigs,Number of animals,Number,1092672
Alberta,1966,Total pigs,Average number,Number,38
Alberta,1966,Total sheep,Number of farms reporting,Number,3203
Alberta,1966,Total sheep,Number of animals,Number,301397
Alberta,1966,Total sheep,Average number,Number,94
Alberta,1966,Horses and ponies,Number of farms reporting,Number,24764
Alberta,1966,Horses and ponies,Number of animals,Number,93729
Alberta,1966,Horses and ponies,Average number,Number,4
Alberta,1966,Total hens and chickens,Number of farms reporting,Number,34247
Alberta,1966,Total hens and chickens,Number of animals,Number,8440447
Alberta,1966,Total hens and chickens,Average number,Number,246
British Columbia,1966,Total cattle,Number of farms reporting,Number,11025
British Columbia,1966,Total cattle,Number of animals,Number,546013
British Columbia,1966,Total cattle,Average number,Number,50
British Columbia,1966,Total pigs,Number of farms reporting,Number,2240
British Columbia,1966,Total pigs,Number of animals,Number,37422
British Columbia,1966,Total pigs,Average number,Number,17
British Columbia,1966,Total sheep,Number of farms reporting,Number,1113
British Columbia,1966,Total sheep,Number of animals,Number,65919
British Columbia,1966,Total sheep,Average number,Number,59
British Columbia,1966,Horses and ponies,Number of farms reporting,Number,5243
British Columbia,1966,Horses and ponies,Number of animals,Number,26521
British Columbia,1966,Horses and ponies,Average number,Number,5
British Columbia,1966,Total hens and chickens,Number of farms reporting,Number,7060
British Columbia,1966,Total hens and chickens,Number of animals,Number,7345821
British Columbia,1966,Total hens and chickens,Average number,Number,1040
Canada,1971,Total cattle,Number of farms reporting,Number,248751
Canada,1971,Total cattle,Number of animals,Number,13277997
Canada,1971,Total cattle,Average number,Number,53
Canada,1971,Total pigs,Number of farms reporting,Number,122479
Canada,1971,Total pigs,Number of animals,Number,8106923
Canada,1971,Total pigs,Average number,Number,66
Canada,1971,Total sheep,Number of farms reporting,Number,14090
Canada,1971,Total sheep,Number of animals,Number,860789
Canada,1971,Total sheep,Average number,Number,61
Canada,1971,Horses and ponies,Number of farms reporting,Number,111254
Canada,1971,Horses and ponies,Number of animals,Number,354251
Canada,1971,Horses and ponies,Average number,Number,3
Canada,1971,Total hens and chickens,Number of farms reporting,Number,119589
Canada,1971,Total hens and chickens,Number of animals,Number,87535792
Canada,1971,Total hens and chickens,Average number,Number,732
Newfoundland and Labrador,1971,Total cattle,Number of farms reporting,Number,560
Newfoundland and Labrador,1971,Total cattle,Number of animals,Number,7138
Newfoundland and Labrador,1971,Total cattle,Average number,Number,13
Newfoundland and Labrador,1971,Total pigs,Number of farms reporting,Number,171
Newfoundland and Labrador,1971,Total pigs,Number of animals,Number,14639
Newfoundland and Labrador,1971,Total pigs,Average number,Number,86
Newfoundland and Labrador,1971,Total sheep,Number of farms reporting,Number,306
Newfoundland and Labrador,1971,Total sheep,Number of animals,Number,9384
Newfoundland and Labrador,1971,Total sheep,Average number,Number,31
Newfoundland and Labrador,1971,Horses and ponies,Number of farms reporting,Number,474
Newfoundland and Labrador,1971,Horses and ponies,Number of animals,Number,629
Newfoundland and Labrador,1971,Horses and ponies,Average number,Number,1
Newfoundland and Labrador,1971,Total hens and chickens,Number of farms reporting,Number,258
Newfoundland and Labrador,1971,Total hens and chickens,Number of animals,Number,808919
Newfoundland and Labrador,1971,Total hens and chickens,Average number,Number,3135
Prince Edward Island,1971,Total cattle,Number of farms reporting,Number,3692
Prince Edward Island,1971,Total cattle,Number of animals,Number,106062
Prince Edward Island,1971,Total cattle,Average number,Number,29
Prince Edward Island,1971,Total pigs,Number of farms reporting,Number,2046
Prince Edward Island,1971,Total pigs,Number of animals,Number,100936
Prince Edward Island,1971,Total pigs,Average number,Number,49
Prince Edward Island,1971,Total sheep,Number of farms reporting,Number,241
Prince Edward Island,1971,Total sheep,Number of animals,Number,8484
Prince Edward Island,1971,Total sheep,Average number,Number,35
Prince Edward Island,1971,Horses and ponies,Number of farms reporting,Number,1532
Prince Edward Island,1971,Horses and ponies,Number of animals,Number,2941
Prince Edward Island,1971,Horses and ponies,Average number,Number,2
Prince Edward Island,1971,Total hens and chickens,Number of farms reporting,Number,1235
Prince Edward Island,1971,Total hens and chickens,Number of animals,Number,268642
Prince Edward Island,1971,Total hens and chickens,Average number,Number,218
Nova Scotia,1971,Total cattle,Number of farms reporting,Number,4614
Nova Scotia,1971,Total cattle,Number of animals,Number,130920
Nova Scotia,1971,Total cattle,Average number,Number,28
Nova Scotia,1971,Total pigs,Number of farms reporting,Number,1271
Nova Scotia,1971,Total pigs,Number of animals,Number,79765
Nova Scotia,1971,Total pigs,Average number,Number,63
Nova Scotia,1971,Total sheep,Number of farms reporting,Number,647
Nova Scotia,1971,Total sheep,Number of animals,Number,35837
Nova Scotia,1971,Total sheep,Average number,Number,55
Nova Scotia,1971,Horses and ponies,Number of farms reporting,Number,1794
Nova Scotia,1971,Horses and ponies,Number of animals,Number,3717
Nova Scotia,1971,Horses and ponies,Average number,Number,2
Nova Scotia,1971,Total hens and chickens,Number of farms reporting,Number,1472
Nova Scotia,1971,Total hens and chickens,Number of animals,Number,3055813
Nova Scotia,1971,Total hens and chickens,Average number,Number,2076
New Brunswick,1971,Total cattle,Number of farms reporting,Number,4020
New Brunswick,1971,Total cattle,Number of animals,Number,112686
New Brunswick,1971,Total cattle,Average number,Number,28
New Brunswick,1971,Total pigs,Number of farms reporting,Number,1728
New Brunswick,1971,Total pigs,Number of animals,Number,56330
New Brunswick,1971,Total pigs,Average number,Number,33
New Brunswick,1971,Total sheep,Number of farms reporting,Number,366
New Brunswick,1971,Total sheep,Number of animals,Number,17256
New Brunswick,1971,Total sheep,Average number,Number,47
New Brunswick,1971,Horses and ponies,Number of farms reporting,Number,1873
New Brunswick,1971,Horses and ponies,Number of animals,Number,4055
New Brunswick,1971,Horses and ponies,Average number,Number,2
New Brunswick,1971,Total hens and chickens,Number of farms reporting,Number,1686
New Brunswick,1971,Total hens and chickens,Number of animals,Number,1761982
New Brunswick,1971,Total hens and chickens,Average number,Number,1045
Quebec,1971,Total cattle,Number of farms reporting,Number,48620
Quebec,1971,Total cattle,Number of animals,Number,1780773
Quebec,1971,Total cattle,Average number,Number,37
Quebec,1971,Total pigs,Number of farms reporting,Number,17428
Quebec,1971,Total pigs,Number of animals,Number,1383581
Quebec,1971,Total pigs,Average number,Number,79
Quebec,1971,Total sheep,Number of farms reporting,Number,2060
Quebec,1971,Total sheep,Number of animals,Number,88425
Quebec,1971,Total sheep,Average number,Number,43
Quebec,1971,Horses and ponies,Number of farms reporting,Number,19886
Quebec,1971,Horses and ponies,Number of animals,Number,43543
Quebec,1971,Horses and ponies,Average number,Number,2
Quebec,1971,Total hens and chickens,Number of farms reporting,Number,16670
Quebec,1971,Total hens and chickens,Number of animals,Number,22586143
Quebec,1971,Total hens and chickens,Average number,Number,1355
Ontario,1971,Total cattle,Number of farms reporting,Number,64295
Ontario,1971,Total cattle,Number of animals,Number,3082015
Ontario,1971,Total cattle,Average number,Number,48
Ontario,1971,Total pigs,Number of farms reporting,Number,30626
Ontario,1971,Total pigs,Number of animals,Number,2361667
Ontario,1971,Total pigs,Average number,Number,77
Ontario,1971,Total sheep,Number of farms reporting,Number,4409
Ontario,1971,Total sheep,Number of animals,Number,216271
Ontario,1971,Total sheep,Average number,Number,49
Ontario,1971,Horses and ponies,Number of farms reporting,Number,23308
Ontario,1971,Horses and ponies,Number of animals,Number,79869
Ontario,1971,Horses and ponies,Average number,Number,3
Ontario,1971,Total hens and chickens,Number of farms reporting,Number,22236
Ontario,1971,Total hens and chickens,Number of animals,Number,31509963
Ontario,1971,Total hens and chickens,Average number,Number,1417
Manitoba,1971,Total cattle,Number of farms reporting,Number,22434
Manitoba,1971,Total cattle,Number of animals,Number,1138075
Manitoba,1971,Total cattle,Average number,Number,51
Manitoba,1971,Total pigs,Number of farms reporting,Number,14201
Manitoba,1971,Total pigs,Number of animals,Number,1070571
Manitoba,1971,Total pigs,Average number,Number,75
Manitoba,1971,Total sheep,Number of farms reporting,Number,752
Manitoba,1971,Total sheep,Number of animals,Number,42500
Manitoba,1971,Total sheep,Average number,Number,57
Manitoba,1971,Horses and ponies,Number of farms reporting,Number,11040
Manitoba,1971,Horses and ponies,Number of animals,Number,33104
Manitoba,1971,Horses and ponies,Average number,Number,3
Manitoba,1971,Total hens and chickens,Number of farms reporting,Number,12487
Manitoba,1971,Total hens and chickens,Number of animals,Number,6677815
Manitoba,1971,Total hens and chickens,Average number,Number,535
Saskatchewan,1971,Total cattle,Number of farms reporting,Number,45577
Saskatchewan,1971,Total cattle,Number of animals,Number,2645032
Saskatchewan,1971,Total cattle,Average number,Number,58
Saskatchewan,1971,Total pigs,Number of farms reporting,Number,26075
Saskatchewan,1971,Total pigs,Number of animals,Number,1145274
Saskatchewan,1971,Total pigs,Average number,Number,44
Saskatchewan,1971,Total sheep,Number of farms reporting,Number,1690
Saskatchewan,1971,Total sheep,Number of animals,Number,144594
Saskatchewan,1971,Total sheep,Average number,Number,86
Saskatchewan,1971,Horses and ponies,Number of farms reporting,Number,22776
Saskatchewan,1971,Horses and ponies,Number of animals,Number,65123
Saskatchewan,1971,Horses and ponies,Average number,Number,3
Saskatchewan,1971,Total hens and chickens,Number of farms reporting,Number,31178
Saskatchewan,1971,Total hens and chickens,Number of animals,Number,5081934
Saskatchewan,1971,Total hens and chickens,Average number,Number,163
Alberta,1971,Total cattle,Number of farms reporting,Number,44575
Alberta,1971,Total cattle,Number of animals,Number,3702125
Alberta,1971,Total cattle,Average number,Number,83
Alberta,1971,Total pigs,Number of farms reporting,Number,26204
Alberta,1971,Total pigs,Number of animals,Number,1815539
Alberta,1971,Total pigs,Average number,Number,69
Alberta,1971,Total sheep,Number of farms reporting,Number,2511
Alberta,1971,Total sheep,Number of animals,Number,244926
Alberta,1971,Total sheep,Average number,Number,98
Alberta,1971,Horses and ponies,Number of farms reporting,Number,22292
Alberta,1971,Horses and ponies,Number of animals,Number,88809
Alberta,1971,Horses and ponies,Average number,Number,4
Alberta,1971,Total hens and chickens,Number of farms reporting,Number,26005
Alberta,1971,Total hens and chickens,Number of animals,Number,7923093
Alberta,1971,Total hens and chickens,Average number,Number,305
British Columbia,1971,Total cattle,Number of farms reporting,Number,10364
British Columbia,1971,Total cattle,Number of animals,Number,573171
British Columbia,1971,Total cattle,Average number,Number,55
British Columbia,1971,Total pigs,Number of farms reporting,Number,2729
British Columbia,1971,Total pigs,Number of animals,Number,78621
British Columbia,1971,Total pigs,Average number,Number,29
British Columbia,1971,Total sheep,Number of farms reporting,Number,1108
British Columbia,1971,Total sheep,Number of animals,Number,53112
British Columbia,1971,Total sheep,Average number,Number,48
British Columbia,1971,Horses and ponies,Number of farms reporting,Number,6279
British Columbia,1971,Horses and ponies,Number of animals,Number,32461
British Columbia,1971,Horses and ponies,Average number,Number,5
British Columbia,1971,Total hens and chickens,Number of farms reporting,Number,6362
British Columbia,1971,Total hens and chickens,Number of animals,Number,7861488
British Columbia,1971,Total hens and chickens,Average number,Number,1236
Canada,1976,Total cattle,Number of farms reporting,Number,225253
Canada,1976,Total cattle,Number of animals,Number,15131722
Canada,1976,Total cattle,Average number,Number,67
Canada,1976,Dairy cows,Number of farms reporting,Number,96909
Canada,1976,Dairy cows,Number of animals,Number,1993427
Canada,1976,Dairy cows,Average number,Number,21
Canada,1976,Beef cows,Number of farms reporting,Number,163863
Canada,1976,Beef cows,Number of animals,Number,4344912
Canada,1976,Beef cows,Average number,Number,27
Canada,1976,Total heifers,Number of farms reporting,Number,170097
Canada,1976,Total heifers,Number of animals,Number,2203796
Canada,1976,Total heifers,Average number,Number,13
Canada,1976,Bulls, 1 year and over,Number of farms reporting,Number,132494
Canada,1976,Bulls, 1 year and over,Number of animals,Number,285076
Canada,1976,Bulls, 1 year and over,Average number,Number,2
Canada,1976,Steers, 1 year and over,Number of farms reporting,Number,121959
Canada,1976,Steers, 1 year and over,Number of animals,Number,2342240
Canada,1976,Steers, 1 year and over,Average number,Number,19
Canada,1976,Calves, under 1 year,Number of farms reporting,Number,192223
Canada,1976,Calves, under 1 year,Number of animals,Number,3962271
Canada,1976,Calves, under 1 year,Average number,Number,21
Canada,1976,Total pigs,Number of farms reporting,Number,63602
Canada,1976,Total pigs,Number of animals,Number,5789676
Canada,1976,Total pigs,Average number,Number,91
Canada,1976,Sows and gilts for breeding,Number of farms reporting,Number,33460
Canada,1976,Sows and gilts for breeding,Number of animals,Number,589018
Canada,1976,Sows and gilts for breeding,Average number,Number,18
Canada,1976,Total sheep,Number of farms reporting,Number,10611
Canada,1976,Total sheep,Number of animals,Number,593143
Canada,1976,Total sheep,Average number,Number,56
Canada,1976,Ewes,Number of farms reporting,Number,9781
Canada,1976,Ewes,Number of animals,Number,316276
Canada,1976,Ewes,Average number,Number,32
Canada,1976,All other sheep,Number of farms reporting,Number,9335
Canada,1976,All other sheep,Number of animals,Number,276867
Canada,1976,All other sheep,Average number,Number,30
Canada,1976,Total hens and chickens,Number of farms reporting,Number,99128
Canada,1976,Total hens and chickens,Number of animals,Number,87071513
Canada,1976,Total hens and chickens,Average number,Number,878
Canada,1976,Turkeys,Number of farms reporting,Number,13810
Canada,1976,Turkeys,Number of animals,Number,8828549
Canada,1976,Turkeys,Average number,Number,639
Newfoundland and Labrador,1976,Total cattle,Number of farms reporting,Number,440
Newfoundland and Labrador,1976,Total cattle,Number of animals,Number,7061
Newfoundland and Labrador,1976,Total cattle,Average number,Number,16
Newfoundland and Labrador,1976,Dairy cows,Number of farms reporting,Number,194
Newfoundland and Labrador,1976,Dairy cows,Number of animals,Number,2459
Newfoundland and Labrador,1976,Dairy cows,Average number,Number,13
Newfoundland and Labrador,1976,Beef cows,Number of farms reporting,Number,272
Newfoundland and Labrador,1976,Beef cows,Number of animals,Number,1586
Newfoundland and Labrador,1976,Beef cows,Average number,Number,6
Newfoundland and Labrador,1976,Total heifers,Number of farms reporting,Number,248
Newfoundland and Labrador,1976,Total heifers,Number of animals,Number,896
Newfoundland and Labrador,1976,Total heifers,Average number,Number,4
Newfoundland and Labrador,1976,Bulls, 1 year and over,Number of farms reporting,Number,153
Newfoundland and Labrador,1976,Bulls, 1 year and over,Number of animals,Number,249
Newfoundland and Labrador,1976,Bulls, 1 year and over,Average number,Number,2
Newfoundland and Labrador,1976,Steers, 1 year and over,Number of farms reporting,Number,83
Newfoundland and Labrador,1976,Steers, 1 year and over,Number of animals,Number,253
Newfoundland and Labrador,1976,Steers, 1 year and over,Average number,Number,3
Newfoundland and Labrador,1976,Calves, under 1 year,Number of farms reporting,Number,345
Newfoundland and Labrador,1976,Calves, under 1 year,Number of animals,Number,1618
Newfoundland and Labrador,1976,Calves, under 1 year,Average number,Number,5
Newfoundland and Labrador,1976,Total pigs,Number of farms reporting,Number,84
Newfoundland and Labrador,1976,Total pigs,Number of animals,Number,15795
Newfoundland and Labrador,1976,Total pigs,Average number,Number,188
Newfoundland and Labrador,1976,Sows and gilts for breeding,Number of farms reporting,Number,31
Newfoundland and Labrador,1976,Sows and gilts for breeding,Number of animals,Number,1666
Newfoundland and Labrador,1976,Sows and gilts for breeding,Average number,Number,54
Newfoundland and Labrador,1976,Total sheep,Number of farms reporting,Number,247
Newfoundland and Labrador,1976,Total sheep,Number of animals,Number,9159
Newfoundland and Labrador,1976,Total sheep,Average number,Number,37
Newfoundland and Labrador,1976,Ewes,Number of farms reporting,Number,245
Newfoundland and Labrador,1976,Ewes,Number of animals,Number,4683
Newfoundland and Labrador,1976,Ewes,Average number,Number,19
Newfoundland and Labrador,1976,All other sheep,Number of farms reporting,Number,241
Newfoundland and Labrador,1976,All other sheep,Number of animals,Number,4476
Newfoundland and Labrador,1976,All other sheep,Average number,Number,19
Newfoundland and Labrador,1976,Total hens and chickens,Number of farms reporting,Number,209
Newfoundland and Labrador,1976,Total hens and chickens,Number of animals,Number,943499
Newfoundland and Labrador,1976,Total hens and chickens,Average number,Number,4514
Newfoundland and Labrador,1976,Turkeys,Number of farms reporting,Number,4
Newfoundland and Labrador,1976,Turkeys,Number of animals,Number,2263
Newfoundland and Labrador,1976,Turkeys,Average number,Number,566
Prince Edward Island,1976,Total cattle,Number of farms reporting,Number,2921
Prince Edward Island,1976,Total cattle,Number of animals,Number,110396
Prince Edward Island,1976,Total cattle,Average number,Number,38
Prince Edward Island,1976,Dairy cows,Number of farms reporting,Number,1732
Prince Edward Island,1976,Dairy cows,Number of animals,Number,25611
Prince Edward Island,1976,Dairy cows,Average number,Number,15
Prince Edward Island,1976,Beef cows,Number of farms reporting,Number,1615
Prince Edward Island,1976,Beef cows,Number of animals,Number,14673
Prince Edward Island,1976,Beef cows,Average number,Number,9
Prince Edward Island,1976,Total heifers,Number of farms reporting,Number,2360
Prince Edward Island,1976,Total heifers,Number of animals,Number,18234
Prince Edward Island,1976,Total heifers,Average number,Number,8
Prince Edward Island,1976,Bulls, 1 year and over,Number of farms reporting,Number,1046
Prince Edward Island,1976,Bulls, 1 year and over,Number of animals,Number,1954
Prince Edward Island,1976,Bulls, 1 year and over,Average number,Number,2
Prince Edward Island,1976,Steers, 1 year and over,Number of farms reporting,Number,2048
Prince Edward Island,1976,Steers, 1 year and over,Number of animals,Number,24674
Prince Edward Island,1976,Steers, 1 year and over,Average number,Number,12
Prince Edward Island,1976,Calves, under 1 year,Number of farms reporting,Number,2427
Prince Edward Island,1976,Calves, under 1 year,Number of animals,Number,25250
Prince Edward Island,1976,Calves, under 1 year,Average number,Number,10
Prince Edward Island,1976,Total pigs,Number of farms reporting,Number,1169
Prince Edward Island,1976,Total pigs,Number of animals,Number,78691
Prince Edward Island,1976,Total pigs,Average number,Number,67
Prince Edward Island,1976,Sows and gilts for breeding,Number of farms reporting,Number,703
Prince Edward Island,1976,Sows and gilts for breeding,Number of animals,Number,8917
Prince Edward Island,1976,Sows and gilts for breeding,Average number,Number,13
Prince Edward Island,1976,Total sheep,Number of farms reporting,Number,139
Prince Edward Island,1976,Total sheep,Number of animals,Number,6272
Prince Edward Island,1976,Total sheep,Average number,Number,45
Prince Edward Island,1976,Ewes,Number of farms reporting,Number,135
Prince Edward Island,1976,Ewes,Number of animals,Number,3152
Prince Edward Island,1976,Ewes,Average number,Number,23
Prince Edward Island,1976,All other sheep,Number of farms reporting,Number,134
Prince Edward Island,1976,All other sheep,Number of animals,Number,3120
Prince Edward Island,1976,All other sheep,Average number,Number,23
Prince Edward Island,1976,Total hens and chickens,Number of farms reporting,Number,887
Prince Edward Island,1976,Total hens and chickens,Number of animals,Number,268252
Prince Edward Island,1976,Total hens and chickens,Average number,Number,302
Prince Edward Island,1976,Turkeys,Number of farms reporting,Number,10
Prince Edward Island,1976,Turkeys,Number of animals,Number,875
Prince Edward Island,1976,Turkeys,Average number,Number,88
Nova Scotia,1976,Total cattle,Number of farms reporting,Number,3947
Nova Scotia,1976,Total cattle,Number of animals,Number,137164
Nova Scotia,1976,Total cattle,Average number,Number,35
Nova Scotia,1976,Dairy cows,Number of farms reporting,Number,1999
Nova Scotia,1976,Dairy cows,Number of animals,Number,38582
Nova Scotia,1976,Dairy cows,Average number,Number,19
Nova Scotia,1976,Beef cows,Number of farms reporting,Number,2518
Nova Scotia,1976,Beef cows,Number of animals,Number,28379
Nova Scotia,1976,Beef cows,Average number,Number,11
Nova Scotia,1976,Total heifers,Number of farms reporting,Number,3006
Nova Scotia,1976,Total heifers,Number of animals,Number,22601
Nova Scotia,1976,Total heifers,Average number,Number,8
Nova Scotia,1976,Bulls, 1 year and over,Number of farms reporting,Number,1653
Nova Scotia,1976,Bulls, 1 year and over,Number of animals,Number,2398
Nova Scotia,1976,Bulls, 1 year and over,Average number,Number,1
Nova Scotia,1976,Steers, 1 year and over,Number of farms reporting,Number,2062
Nova Scotia,1976,Steers, 1 year and over,Number of animals,Number,15073
Nova Scotia,1976,Steers, 1 year and over,Average number,Number,7
Nova Scotia,1976,Calves, under 1 year,Number of farms reporting,Number,3232
Nova Scotia,1976,Calves, under 1 year,Number of animals,Number,30131
Nova Scotia,1976,Calves, under 1 year,Average number,Number,9
Nova Scotia,1976,Total pigs,Number of farms reporting,Number,834
Nova Scotia,1976,Total pigs,Number of animals,Number,73433
Nova Scotia,1976,Total pigs,Average number,Number,88
Nova Scotia,1976,Sows and gilts for breeding,Number of farms reporting,Number,297
Nova Scotia,1976,Sows and gilts for breeding,Number of animals,Number,7808
Nova Scotia,1976,Sows and gilts for breeding,Average number,Number,26
Nova Scotia,1976,Total sheep,Number of farms reporting,Number,508
Nova Scotia,1976,Total sheep,Number of animals,Number,38703
Nova Scotia,1976,Total sheep,Average number,Number,76
Nova Scotia,1976,Ewes,Number of farms reporting,Number,487
Nova Scotia,1976,Ewes,Number of animals,Number,20965
Nova Scotia,1976,Ewes,Average number,Number,43
Nova Scotia,1976,All other sheep,Number of farms reporting,Number,475
Nova Scotia,1976,All other sheep,Number of animals,Number,17738
Nova Scotia,1976,All other sheep,Average number,Number,37
Nova Scotia,1976,Total hens and chickens,Number of farms reporting,Number,1384
Nova Scotia,1976,Total hens and chickens,Number of animals,Number,2992860
Nova Scotia,1976,Total hens and chickens,Average number,Number,2162
Nova Scotia,1976,Turkeys,Number of farms reporting,Number,37
Nova Scotia,1976,Turkeys,Number of animals,Number,129259
Nova Scotia,1976,Turkeys,Average number,Number,3493
New Brunswick,1976,Total cattle,Number of farms reporting,Number,3303
New Brunswick,1976,Total cattle,Number of animals,Number,121088
New Brunswick,1976,Total cattle,Average number,Number,37
New Brunswick,1976,Dairy cows,Number of farms reporting,Number,1702
New Brunswick,1976,Dairy cows,Number of animals,Number,30510
New Brunswick,1976,Dairy cows,Average number,Number,18
New Brunswick,1976,Beef cows,Number of farms reporting,Number,2219
New Brunswick,1976,Beef cows,Number of animals,Number,27625
New Brunswick,1976,Beef cows,Average number,Number,12
New Brunswick,1976,Total heifers,Number of farms reporting,Number,2546
New Brunswick,1976,Total heifers,Number of animals,Number,19609
New Brunswick,1976,Total heifers,Average number,Number,8
New Brunswick,1976,Bulls, 1 year and over,Number of farms reporting,Number,1852
New Brunswick,1976,Bulls, 1 year and over,Number of animals,Number,3011
New Brunswick,1976,Bulls, 1 year and over,Average number,Number,2
New Brunswick,1976,Steers, 1 year and over,Number of farms reporting,Number,1340
