Area,Year,Item,Measurement,Unit,Value
Manitoba,1981,Area rented or leased from others,Hectares,Hectares,2518269
Manitoba,1981,Area rented or leased from others,Average area in acres per farm reporting,Acres,466
Saskatchewan,1981,Total number of farms,Number of farms reporting,Number,67318
Saskatchewan,1981,Total area of farms,Hectares,Hectares,25947086
Saskatchewan,1981,Total area of farms,Average area in acres per farm reporting,Acres,952
Saskatchewan,1981,Area owned,Number of farms reporting,Number,61338
Saskatchewan,1981,Area owned,Hectares,Hectares,17538838
Saskatchewan,1981,Area owned,Average area in acres per farm reporting,Acres,707
Saskatchewan,1981,Area rented or leased from others,Number of farms reporting,Number,33182
Saskatchewan,1981,Area rented or leased from others,Hectares,Hectares,8408245
Saskatchewan,1981,Area rented or leased from others,Average area in acres per farm reporting,Acres,626
Alberta,1981,Total number of farms,Number of farms reporting,Number,58056
Alberta,1981,Total area of farms,Hectares,Hectares,19108513
Alberta,1981,Total area of farms,Average area in acres per farm reporting,Acres,813
Alberta,1981,Area owned,Number of farms reporting,Number,54381
Alberta,1981,Area owned,Hectares,Hectares,12408905
Alberta,1981,Area owned,Average area in acres per farm reporting,Acres,564
Alberta,1981,Area rented or leased from others,Number of farms reporting,Number,24206
Alberta,1981,Area rented or leased from others,Hectares,Hectares,6699607
Alberta,1981,Area rented or leased from others,Average area in acres per farm reporting,Acres,684
British Columbia,1981,Total number of farms,Number of farms reporting,Number,20012
British Columbia,1981,Total area of farms,Hectares,Hectares,2178596
British Columbia,1981,Total area of farms,Average area in acres per farm reporting,Acres,269
British Columbia,1981,Area owned,Number of farms reporting,Number,18995
British Columbia,1981,Area owned,Hectares,Hectares,1537035
British Columbia,1981,Area owned,Average area in acres per farm reporting,Acres,200
British Columbia,1981,Area rented or leased from others,Number of farms reporting,Number,4368
British Columbia,1981,Area rented or leased from others,Hectares,Hectares,641561
British Columbia,1981,Area rented or leased from others,Average area in acres per farm reporting,Acres,363
Canada,1986,Total number of farms,Number of farms reporting,Number,293089
Canada,1986,Total area of farms,Hectares,Hectares,67825757
Canada,1986,Total area of farms,Average area in acres per farm reporting,Acres,572
Canada,1986,Area owned,Number of farms reporting,Number,273963
Canada,1986,Area owned,Hectares,Hectares,43218905
Canada,1986,Area owned,Average area in acres per farm reporting,Acres,390
Canada,1986,Area rented or leased from others,Number of farms reporting,Number,118735
Canada,1986,Area rented or leased from others,Hectares,Hectares,24606852
Canada,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,512
Newfoundland and Labrador,1986,Total number of farms,Number of farms reporting,Number,651
Newfoundland and Labrador,1986,Total area of farms,Hectares,Hectares,36561
Newfoundland and Labrador,1986,Total area of farms,Average area in acres per farm reporting,Acres,139
Newfoundland and Labrador,1986,Area owned,Number of farms reporting,Number,553
Newfoundland and Labrador,1986,Area owned,Hectares,Hectares,13118
Newfoundland and Labrador,1986,Area owned,Average area in acres per farm reporting,Acres,59
Newfoundland and Labrador,1986,Area rented or leased from others,Number of farms reporting,Number,288
Newfoundland and Labrador,1986,Area rented or leased from others,Hectares,Hectares,23443
Newfoundland and Labrador,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,201
Prince Edward Island,1986,Total number of farms,Number of farms reporting,Number,2833
Prince Edward Island,1986,Total area of farms,Hectares,Hectares,272433
Prince Edward Island,1986,Total area of farms,Average area in acres per farm reporting,Acres,238
Prince Edward Island,1986,Area owned,Number of farms reporting,Number,2686
Prince Edward Island,1986,Area owned,Hectares,Hectares,200168
Prince Edward Island,1986,Area owned,Average area in acres per farm reporting,Acres,184
Prince Edward Island,1986,Area rented or leased from others,Number of farms reporting,Number,1254
Prince Edward Island,1986,Area rented or leased from others,Hectares,Hectares,72265
Prince Edward Island,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,142
Nova Scotia,1986,Total number of farms,Number of farms reporting,Number,4283
Nova Scotia,1986,Total area of farms,Hectares,Hectares,416507
Nova Scotia,1986,Total area of farms,Average area in acres per farm reporting,Acres,240
Nova Scotia,1986,Area owned,Number of farms reporting,Number,4146
Nova Scotia,1986,Area owned,Hectares,Hectares,359440
Nova Scotia,1986,Area owned,Average area in acres per farm reporting,Acres,214
Nova Scotia,1986,Area rented or leased from others,Number of farms reporting,Number,1366
Nova Scotia,1986,Area rented or leased from others,Hectares,Hectares,57067
Nova Scotia,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,103
New Brunswick,1986,Total number of farms,Number of farms reporting,Number,3554
New Brunswick,1986,Total area of farms,Hectares,Hectares,408893
New Brunswick,1986,Total area of farms,Average area in acres per farm reporting,Acres,284
New Brunswick,1986,Area owned,Number of farms reporting,Number,3410
New Brunswick,1986,Area owned,Hectares,Hectares,347068
New Brunswick,1986,Area owned,Average area in acres per farm reporting,Acres,252
New Brunswick,1986,Area rented or leased from others,Number of farms reporting,Number,1145
New Brunswick,1986,Area rented or leased from others,Hectares,Hectares,61824
New Brunswick,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,133
Quebec,1986,Total number of farms,Number of farms reporting,Number,41448
Quebec,1986,Total area of farms,Hectares,Hectares,3638801
Quebec,1986,Total area of farms,Average area in acres per farm reporting,Acres,217
Quebec,1986,Area owned,Number of farms reporting,Number,39968
Quebec,1986,Area owned,Hectares,Hectares,3166015
Quebec,1986,Area owned,Average area in acres per farm reporting,Acres,196
Quebec,1986,Area rented or leased from others,Number of farms reporting,Number,10386
Quebec,1986,Area rented or leased from others,Hectares,Hectares,472785
Quebec,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,112
Ontario,1986,Total number of farms,Number of farms reporting,Number,72713
Ontario,1986,Total area of farms,Hectares,Hectares,5646582
Ontario,1986,Total area of farms,Average area in acres per farm reporting,Acres,192
Ontario,1986,Area owned,Number of farms reporting,Number,68469
Ontario,1986,Area owned,Hectares,Hectares,4229662
Ontario,1986,Area owned,Average area in acres per farm reporting,Acres,153
Ontario,1986,Area rented or leased from others,Number of farms reporting,Number,24487
Ontario,1986,Area rented or leased from others,Hectares,Hectares,1416920
Ontario,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,143
Manitoba,1986,Total number of farms,Number of farms reporting,Number,27336
Manitoba,1986,Total area of farms,Hectares,Hectares,7740226
Manitoba,1986,Total area of farms,Average area in acres per farm reporting,Acres,700
Manitoba,1986,Area owned,Number of farms reporting,Number,25091
Manitoba,1986,Area owned,Hectares,Hectares,4871429
Manitoba,1986,Area owned,Average area in acres per farm reporting,Acres,480
Manitoba,1986,Area rented or leased from others,Number of farms reporting,Number,13552
Manitoba,1986,Area rented or leased from others,Hectares,Hectares,2868797
Manitoba,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,523
Saskatchewan,1986,Total number of farms,Number of farms reporting,Number,63431
Saskatchewan,1986,Total area of farms,Hectares,Hectares,26599354
Saskatchewan,1986,Total area of farms,Average area in acres per farm reporting,Acres,1036
Saskatchewan,1986,Area owned,Number of farms reporting,Number,57933
Saskatchewan,1986,Area owned,Hectares,Hectares,16521057
Saskatchewan,1986,Area owned,Average area in acres per farm reporting,Acres,705
Saskatchewan,1986,Area rented or leased from others,Number of farms reporting,Number,34015
Saskatchewan,1986,Area rented or leased from others,Hectares,Hectares,10078297
Saskatchewan,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,732
Alberta,1986,Total number of farms,Number of farms reporting,Number,57777
Alberta,1986,Total area of farms,Hectares,Hectares,20655340
Alberta,1986,Total area of farms,Average area in acres per farm reporting,Acres,883
Alberta,1986,Area owned,Number of farms reporting,Number,53717
Alberta,1986,Area owned,Hectares,Hectares,12053840
Alberta,1986,Area owned,Average area in acres per farm reporting,Acres,554
Alberta,1986,Area rented or leased from others,Number of farms reporting,Number,27510
Alberta,1986,Area rented or leased from others,Hectares,Hectares,8601501
Alberta,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,773
British Columbia,1986,Total number of farms,Number of farms reporting,Number,19063
British Columbia,1986,Total area of farms,Hectares,Hectares,2411060
British Columbia,1986,Total area of farms,Average area in acres per farm reporting,Acres,313
British Columbia,1986,Area owned,Number of farms reporting,Number,17990
British Columbia,1986,Area owned,Hectares,Hectares,1457108
British Columbia,1986,Area owned,Average area in acres per farm reporting,Acres,200
British Columbia,1986,Area rented or leased from others,Number of farms reporting,Number,4732
British Columbia,1986,Area rented or leased from others,Hectares,Hectares,953952
British Columbia,1986,Area rented or leased from others,Average area in acres per farm reporting,Acres,498
Canada,1991,Total number of farms,Number of farms reporting,Number,280043
Canada,1991,Total area of farms,Hectares,Hectares,67753700
Canada,1991,Total area of farms,Average area in acres per farm reporting,Acres,598
Canada,1991,Area owned,Number of farms reporting,Number,264837
Canada,1991,Area owned,Hectares,Hectares,42961352
Canada,1991,Area owned,Average area in acres per farm reporting,Acres,401
Canada,1991,Area rented or leased from others,Number of farms reporting,Number,111387
Canada,1991,Area rented or leased from others,Hectares,Hectares,24792348
Canada,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,550
Newfoundland and Labrador,1991,Total number of farms,Number of farms reporting,Number,725
Newfoundland and Labrador,1991,Total area of farms,Hectares,Hectares,47353
Newfoundland and Labrador,1991,Total area of farms,Average area in acres per farm reporting,Acres,161
Newfoundland and Labrador,1991,Area owned,Number of farms reporting,Number,548
Newfoundland and Labrador,1991,Area owned,Hectares,Hectares,13210
Newfoundland and Labrador,1991,Area owned,Average area in acres per farm reporting,Acres,60
Newfoundland and Labrador,1991,Area rented or leased from others,Number of farms reporting,Number,387
Newfoundland and Labrador,1991,Area rented or leased from others,Hectares,Hectares,34143
Newfoundland and Labrador,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,218
Prince Edward Island,1991,Total number of farms,Number of farms reporting,Number,2361
Prince Edward Island,1991,Total area of farms,Hectares,Hectares,258875
Prince Edward Island,1991,Total area of farms,Average area in acres per farm reporting,Acres,271
Prince Edward Island,1991,Area owned,Number of farms reporting,Number,2262
Prince Edward Island,1991,Area owned,Hectares,Hectares,185291
Prince Edward Island,1991,Area owned,Average area in acres per farm reporting,Acres,202
Prince Edward Island,1991,Area rented or leased from others,Number of farms reporting,Number,1087
Prince Edward Island,1991,Area rented or leased from others,Hectares,Hectares,73583
Prince Edward Island,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,167
Nova Scotia,1991,Total number of farms,Number of farms reporting,Number,3980
Nova Scotia,1991,Total area of farms,Hectares,Hectares,397031
Nova Scotia,1991,Total area of farms,Average area in acres per farm reporting,Acres,247
Nova Scotia,1991,Area owned,Number of farms reporting,Number,3881
Nova Scotia,1991,Area owned,Hectares,Hectares,344078
Nova Scotia,1991,Area owned,Average area in acres per farm reporting,Acres,219
Nova Scotia,1991,Area rented or leased from others,Number of farms reporting,Number,1305
Nova Scotia,1991,Area rented or leased from others,Hectares,Hectares,52954
Nova Scotia,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,100
New Brunswick,1991,Total number of farms,Number of farms reporting,Number,3252
New Brunswick,1991,Total area of farms,Hectares,Hectares,375631
New Brunswick,1991,Total area of farms,Average area in acres per farm reporting,Acres,285
New Brunswick,1991,Area owned,Number of farms reporting,Number,3140
New Brunswick,1991,Area owned,Hectares,Hectares,315345
New Brunswick,1991,Area owned,Average area in acres per farm reporting,Acres,248
New Brunswick,1991,Area rented or leased from others,Number of farms reporting,Number,1127
New Brunswick,1991,Area rented or leased from others,Hectares,Hectares,60286
New Brunswick,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,132
Quebec,1991,Total number of farms,Number of farms reporting,Number,38076
Quebec,1991,Total area of farms,Hectares,Hectares,3429610
Quebec,1991,Total area of farms,Average area in acres per farm reporting,Acres,223
Quebec,1991,Area owned,Number of farms reporting,Number,37169
Quebec,1991,Area owned,Hectares,Hectares,3000832
Quebec,1991,Area owned,Average area in acres per farm reporting,Acres,200
Quebec,1991,Area rented or leased from others,Number of farms reporting,Number,8932
Quebec,1991,Area rented or leased from others,Hectares,Hectares,428778
Quebec,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,119
Ontario,1991,Total number of farms,Number of farms reporting,Number,68633
Ontario,1991,Total area of farms,Hectares,Hectares,5451379
Ontario,1991,Total area of farms,Average area in acres per farm reporting,Acres,196
Ontario,1991,Area owned,Number of farms reporting,Number,65328
Ontario,1991,Area owned,Hectares,Hectares,4001527
Ontario,1991,Area owned,Average area in acres per farm reporting,Acres,151
Ontario,1991,Area rented or leased from others,Number of farms reporting,Number,22427
Ontario,1991,Area rented or leased from others,Hectares,Hectares,1449852
Ontario,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,160
Manitoba,1991,Total number of farms,Number of farms reporting,Number,25706
Manitoba,1991,Total area of farms,Hectares,Hectares,7724990
Manitoba,1991,Total area of farms,Average area in acres per farm reporting,Acres,743
Manitoba,1991,Area owned,Number of farms reporting,Number,24098
Manitoba,1991,Area owned,Hectares,Hectares,4858316
Manitoba,1991,Area owned,Average area in acres per farm reporting,Acres,498
Manitoba,1991,Area rented or leased from others,Number of farms reporting,Number,12795
Manitoba,1991,Area rented or leased from others,Hectares,Hectares,2866674
Manitoba,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,554
Saskatchewan,1991,Total number of farms,Number of farms reporting,Number,60840
Saskatchewan,1991,Total area of farms,Hectares,Hectares,26865488
Saskatchewan,1991,Total area of farms,Average area in acres per farm reporting,Acres,1091
Saskatchewan,1991,Area owned,Number of farms reporting,Number,56183
Saskatchewan,1991,Area owned,Hectares,Hectares,16412738
Saskatchewan,1991,Area owned,Average area in acres per farm reporting,Acres,722
Saskatchewan,1991,Area rented or leased from others,Number of farms reporting,Number,32629
Saskatchewan,1991,Area rented or leased from others,Hectares,Hectares,10452751
Saskatchewan,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,792
Alberta,1991,Total number of farms,Number of farms reporting,Number,57245
Alberta,1991,Total area of farms,Hectares,Hectares,20811002
Alberta,1991,Total area of farms,Average area in acres per farm reporting,Acres,898
Alberta,1991,Area owned,Number of farms reporting,Number,53915
Alberta,1991,Area owned,Hectares,Hectares,12329826
Alberta,1991,Area owned,Average area in acres per farm reporting,Acres,565
Alberta,1991,Area rented or leased from others,Number of farms reporting,Number,26125
Alberta,1991,Area rented or leased from others,Hectares,Hectares,8481176
Alberta,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,802
British Columbia,1991,Total number of farms,Number of farms reporting,Number,19225
British Columbia,1991,Total area of farms,Hectares,Hectares,2392341
British Columbia,1991,Total area of farms,Average area in acres per farm reporting,Acres,307
British Columbia,1991,Area owned,Number of farms reporting,Number,18313
British Columbia,1991,Area owned,Hectares,Hectares,1500189
British Columbia,1991,Area owned,Average area in acres per farm reporting,Acres,202
British Columbia,1991,Area rented or leased from others,Number of farms reporting,Number,4573
British Columbia,1991,Area rented or leased from others,Hectares,Hectares,892152
British Columbia,1991,Area rented or leased from others,Average area in acres per farm reporting,Acres,482
Canada,1996,Total number of farms,Number of farms reporting,Number,276548
Canada,1996,Total area of farms,Hectares,Hectares,68054956
Canada,1996,Total area of farms,Average area in acres per farm reporting,Acres,608
Canada,1996,Area owned,Number of farms reporting,Number,262152
Canada,1996,Area owned,Hectares,Hectares,43060963
Canada,1996,Area owned,Average area in acres per farm reporting,Acres,406
Canada,1996,Area rented or leased from others,Number of farms reporting,Number,111718
Canada,1996,Area rented or leased from others,Hectares,Hectares,24993993
Canada,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,553
Newfoundland and Labrador,1996,Total number of farms,Number of farms reporting,Number,742
Newfoundland and Labrador,1996,Total area of farms,Hectares,Hectares,43836
Newfoundland and Labrador,1996,Total area of farms,Average area in acres per farm reporting,Acres,146
Newfoundland and Labrador,1996,Area owned,Number of farms reporting,Number,546
Newfoundland and Labrador,1996,Area owned,Hectares,Hectares,12900
Newfoundland and Labrador,1996,Area owned,Average area in acres per farm reporting,Acres,58
Newfoundland and Labrador,1996,Area rented or leased from others,Number of farms reporting,Number,407
Newfoundland and Labrador,1996,Area rented or leased from others,Hectares,Hectares,30935
Newfoundland and Labrador,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,188
Prince Edward Island,1996,Total number of farms,Number of farms reporting,Number,2217
Prince Edward Island,1996,Total area of farms,Hectares,Hectares,265217
Prince Edward Island,1996,Total area of farms,Average area in acres per farm reporting,Acres,296
Prince Edward Island,1996,Area owned,Number of farms reporting,Number,2139
Prince Edward Island,1996,Area owned,Hectares,Hectares,191110
Prince Edward Island,1996,Area owned,Average area in acres per farm reporting,Acres,221
Prince Edward Island,1996,Area rented or leased from others,Number of farms reporting,Number,1039
Prince Edward Island,1996,Area rented or leased from others,Hectares,Hectares,74107
Prince Edward Island,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,176
Nova Scotia,1996,Total number of farms,Number of farms reporting,Number,4453
Nova Scotia,1996,Total area of farms,Hectares,Hectares,427324
Nova Scotia,1996,Total area of farms,Average area in acres per farm reporting,Acres,237
Nova Scotia,1996,Area owned,Number of farms reporting,Number,4300
Nova Scotia,1996,Area owned,Hectares,Hectares,373970
Nova Scotia,1996,Area owned,Average area in acres per farm reporting,Acres,215
Nova Scotia,1996,Area rented or leased from others,Number of farms reporting,Number,1353
Nova Scotia,1996,Area rented or leased from others,Hectares,Hectares,53354
Nova Scotia,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,97
New Brunswick,1996,Total number of farms,Number of farms reporting,Number,3405
New Brunswick,1996,Total area of farms,Hectares,Hectares,386019
New Brunswick,1996,Total area of farms,Average area in acres per farm reporting,Acres,280
New Brunswick,1996,Area owned,Number of farms reporting,Number,3250
New Brunswick,1996,Area owned,Hectares,Hectares,319527
New Brunswick,1996,Area owned,Average area in acres per farm reporting,Acres,243
New Brunswick,1996,Area rented or leased from others,Number of farms reporting,Number,1203
New Brunswick,1996,Area rented or leased from others,Hectares,Hectares,66491
New Brunswick,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,137
Quebec,1996,Total number of farms,Number of farms reporting,Number,35991
Quebec,1996,Total area of farms,Hectares,Hectares,3456213
Quebec,1996,Total area of farms,Average area in acres per farm reporting,Acres,237
Quebec,1996,Area owned,Number of farms reporting,Number,35023
Quebec,1996,Area owned,Hectares,Hectares,2958514
Quebec,1996,Area owned,Average area in acres per farm reporting,Acres,209
Quebec,1996,Area rented or leased from others,Number of farms reporting,Number,9665
Quebec,1996,Area rented or leased from others,Hectares,Hectares,497699
Quebec,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,127
Ontario,1996,Total number of farms,Number of farms reporting,Number,67520
Ontario,1996,Total area of farms,Hectares,Hectares,5616860
Ontario,1996,Total area of farms,Average area in acres per farm reporting,Acres,206
Ontario,1996,Area owned,Number of farms reporting,Number,64354
Ontario,1996,Area owned,Hectares,Hectares,3951596
Ontario,1996,Area owned,Average area in acres per farm reporting,Acres,152
Ontario,1996,Area rented or leased from others,Number of farms reporting,Number,24191
Ontario,1996,Area rented or leased from others,Hectares,Hectares,1665264
Ontario,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,170
Manitoba,1996,Total number of farms,Number of farms reporting,Number,24383
Manitoba,1996,Total area of farms,Hectares,Hectares,7732138
Manitoba,1996,Total area of farms,Average area in acres per farm reporting,Acres,784
Manitoba,1996,Area owned,Number of farms reporting,Number,23036
Manitoba,1996,Area owned,Hectares,Hectares,4928736
Manitoba,1996,Area owned,Average area in acres per farm reporting,Acres,529
Manitoba,1996,Area rented or leased from others,Number of farms reporting,Number,12125
Manitoba,1996,Area rented or leased from others,Hectares,Hectares,2803402
Manitoba,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,571
Saskatchewan,1996,Total number of farms,Number of farms reporting,Number,56995
Saskatchewan,1996,Total area of farms,Hectares,Hectares,26569062
Saskatchewan,1996,Total area of farms,Average area in acres per farm reporting,Acres,1152
Saskatchewan,1996,Area owned,Number of farms reporting,Number,52925
Saskatchewan,1996,Area owned,Hectares,Hectares,16077643
Saskatchewan,1996,Area owned,Average area in acres per farm reporting,Acres,751
Saskatchewan,1996,Area rented or leased from others,Number of farms reporting,Number,30915
Saskatchewan,1996,Area rented or leased from others,Hectares,Hectares,10491419
Saskatchewan,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,839
Alberta,1996,Total number of farms,Number of farms reporting,Number,59007
Alberta,1996,Total area of farms,Hectares,Hectares,21029228
Alberta,1996,Total area of farms,Average area in acres per farm reporting,Acres,881
Alberta,1996,Area owned,Number of farms reporting,Number,55878
Alberta,1996,Area owned,Hectares,Hectares,12684827
Alberta,1996,Area owned,Average area in acres per farm reporting,Acres,561
Alberta,1996,Area rented or leased from others,Number of farms reporting,Number,25722
Alberta,1996,Area rented or leased from others,Hectares,Hectares,8344401
Alberta,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,802
British Columbia,1996,Total number of farms,Number of farms reporting,Number,21835
British Columbia,1996,Total area of farms,Hectares,Hectares,2529060
British Columbia,1996,Total area of farms,Average area in acres per farm reporting,Acres,286
British Columbia,1996,Area owned,Number of farms reporting,Number,20701
British Columbia,1996,Area owned,Hectares,Hectares,1562141
British Columbia,1996,Area owned,Average area in acres per farm reporting,Acres,186
British Columbia,1996,Area rented or leased from others,Number of farms reporting,Number,5098
British Columbia,1996,Area rented or leased from others,Hectares,Hectares,966919
British Columbia,1996,Area rented or leased from others,Average area in acres per farm reporting,Acres,469
Canada,2001,Total number of farms,Number of farms reporting,Number,246923
Canada,2001,Total area of farms,Hectares,Hectares,67502447
Canada,2001,Total area of farms,Average area in acres per farm reporting,Acres,676
Canada,2001,Area owned,Number of farms reporting,Number,235131
Canada,2001,Area owned,Hectares,Hectares,42265707
Canada,2001,Area owned,Average area in acres per farm reporting,Acres,444
Canada,2001,Area rented or leased from others,Number of farms reporting,Number,103484
Canada,2001,Area rented or leased from others,Hectares,Hectares,25236740
Canada,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,603
Newfoundland and Labrador,2001,Total number of farms,Number of farms reporting,Number,643
Newfoundland and Labrador,2001,Total area of farms,Hectares,Hectares,40578
Newfoundland and Labrador,2001,Total area of farms,Average area in acres per farm reporting,Acres,156
Newfoundland and Labrador,2001,Area owned,Number of farms reporting,Number,479
Newfoundland and Labrador,2001,Area owned,Hectares,Hectares,12006
Newfoundland and Labrador,2001,Area owned,Average area in acres per farm reporting,Acres,62
Newfoundland and Labrador,2001,Area rented or leased from others,Number of farms reporting,Number,383
Newfoundland and Labrador,2001,Area rented or leased from others,Hectares,Hectares,28572
Newfoundland and Labrador,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,184
Prince Edward Island,2001,Total number of farms,Number of farms reporting,Number,1845
Prince Edward Island,2001,Total area of farms,Hectares,Hectares,261482
Prince Edward Island,2001,Total area of farms,Average area in acres per farm reporting,Acres,350
Prince Edward Island,2001,Area owned,Number of farms reporting,Number,1800
Prince Edward Island,2001,Area owned,Hectares,Hectares,193243
Prince Edward Island,2001,Area owned,Average area in acres per farm reporting,Acres,265
Prince Edward Island,2001,Area rented or leased from others,Number of farms reporting,Number,871
Prince Edward Island,2001,Area rented or leased from others,Hectares,Hectares,68239
Prince Edward Island,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,194
Nova Scotia,2001,Total number of farms,Number of farms reporting,Number,3923
Nova Scotia,2001,Total area of farms,Hectares,Hectares,407046
Nova Scotia,2001,Total area of farms,Average area in acres per farm reporting,Acres,256
Nova Scotia,2001,Area owned,Number of farms reporting,Number,3804
Nova Scotia,2001,Area owned,Hectares,Hectares,353785
Nova Scotia,2001,Area owned,Average area in acres per farm reporting,Acres,230
Nova Scotia,2001,Area rented or leased from others,Number of farms reporting,Number,1272
Nova Scotia,2001,Area rented or leased from others,Hectares,Hectares,53261
Nova Scotia,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,103
New Brunswick,2001,Total number of farms,Number of farms reporting,Number,3034
New Brunswick,2001,Total area of farms,Hectares,Hectares,388053
New Brunswick,2001,Total area of farms,Average area in acres per farm reporting,Acres,316
New Brunswick,2001,Area owned,Number of farms reporting,Number,2909
New Brunswick,2001,Area owned,Hectares,Hectares,323949
New Brunswick,2001,Area owned,Average area in acres per farm reporting,Acres,275
New Brunswick,2001,Area rented or leased from others,Number of farms reporting,Number,1155
New Brunswick,2001,Area rented or leased from others,Hectares,Hectares,64104
New Brunswick,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,137
Quebec,2001,Total number of farms,Number of farms reporting,Number,32139
Quebec,2001,Total area of farms,Hectares,Hectares,3417026
Quebec,2001,Total area of farms,Average area in acres per farm reporting,Acres,263
Quebec,2001,Area owned,Number of farms reporting,Number,30995
Quebec,2001,Area owned,Hectares,Hectares,2852881
Quebec,2001,Area owned,Average area in acres per farm reporting,Acres,227
Quebec,2001,Area rented or leased from others,Number of farms reporting,Number,10468
Quebec,2001,Area rented or leased from others,Hectares,Hectares,564145
Quebec,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,133
Ontario,2001,Total number of farms,Number of farms reporting,Number,59728
Ontario,2001,Total area of farms,Hectares,Hectares,5466233
Ontario,2001,Total area of farms,Average area in acres per farm reporting,Acres,226
Ontario,2001,Area owned,Number of farms reporting,Number,57156
Ontario,2001,Area owned,Hectares,Hectares,3793190
Ontario,2001,Area owned,Average area in acres per farm reporting,Acres,164
Ontario,2001,Area rented or leased from others,Number of farms reporting,Number,22055
Ontario,2001,Area rented or leased from others,Hectares,Hectares,1673043
Ontario,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,187
Manitoba,2001,Total number of farms,Number of farms reporting,Number,21071
Manitoba,2001,Total area of farms,Hectares,Hectares,7601779
Manitoba,2001,Total area of farms,Average area in acres per farm reporting,Acres,891
Manitoba,2001,Area owned,Number of farms reporting,Number,20031
Manitoba,2001,Area owned,Hectares,Hectares,4747047
Manitoba,2001,Area owned,Average area in acres per farm reporting,Acres,586
Manitoba,2001,Area rented or leased from others,Number of farms reporting,Number,10708
Manitoba,2001,Area rented or leased from others,Hectares,Hectares,2854732
Manitoba,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,659
Saskatchewan,2001,Total number of farms,Number of farms reporting,Number,50598
Saskatchewan,2001,Total area of farms,Hectares,Hectares,26265645
Saskatchewan,2001,Total area of farms,Average area in acres per farm reporting,Acres,1283
Saskatchewan,2001,Area owned,Number of farms reporting,Number,47466
Saskatchewan,2001,Area owned,Hectares,Hectares,16039717
Saskatchewan,2001,Area owned,Average area in acres per farm reporting,Acres,835
Saskatchewan,2001,Area rented or leased from others,Number of farms reporting,Number,27203
Saskatchewan,2001,Area rented or leased from others,Hectares,Hectares,10225928
Saskatchewan,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,929
Alberta,2001,Total number of farms,Number of farms reporting,Number,53652
Alberta,2001,Total area of farms,Hectares,Hectares,21067486
Alberta,2001,Total area of farms,Average area in acres per farm reporting,Acres,970
Alberta,2001,Area owned,Number of farms reporting,Number,51164
Alberta,2001,Area owned,Hectares,Hectares,12424484
Alberta,2001,Area owned,Average area in acres per farm reporting,Acres,600
Alberta,2001,Area rented or leased from others,Number of farms reporting,Number,24388
Alberta,2001,Area rented or leased from others,Hectares,Hectares,8643002
Alberta,2001,Area rented or leased from others,Average area in acres per farm reporting,Acres,876
British Columbia,2001,Total number of farms,Number of farms reporting,Number,20290
British Columbia,2001,Total area of farms,Hectares,Hectares,2587118
British Columbia,2001,Total area of farms,Average area in acres per farm reporting,Acres,315
British Columbia,2001,Area owned,Number of farms reporting,Number,19327
British Columbia,2001,Area owned,Hectares,Hectares,1525403
British Columbia,2001,Area owned,Average area in acres per farm reporting,Acres,195
British Columbia,2001,Area rented or leased from others,Number of farms reporting,Number,4981
British Columbia,2001,Area rented or leased from others,Hectares,Hectares,1061715
